Obec{nazev='Moravske Budejovice', psc=6106, pocetZen=11807, pocetMuzu=11879, celkem=23686}
Obec{nazev='Novy Bydzov', psc=5212, pocetZen=8613, pocetMuzu=8805, celkem=17418}
Obec{nazev='Sokolov', psc=4107, pocetZen=38825, pocetMuzu=39462, celkem=78287}
Obec{nazev='Kadan', psc=4204, pocetZen=21568, pocetMuzu=21958, celkem=43526}
Obec{nazev='Jablunkov', psc=8110, pocetZen=11108, pocetMuzu=11428, celkem=22536}
Obec{nazev='Teplice', psc=4213, pocetZen=52174, pocetMuzu=54605, celkem=106779}
Obec{nazev='Praha 11', psc=1111, pocetZen=37362, pocetMuzu=40701, celkem=78063}
Obec{nazev='Prestice', psc=3210, pocetZen=10533, pocetMuzu=10769, celkem=21302}
Obec{nazev='Lovosice', psc=4208, pocetZen=13432, pocetMuzu=13597, celkem=27029}
Obec{nazev='Vrchlabi', psc=5215, pocetZen=13570, pocetMuzu=13974, celkem=27544}
Obec{nazev='Kraslice', psc=4104, pocetZen=6932, pocetMuzu=6866, celkem=13798}
Obec{nazev='Cesky Krumlov', psc=3103, pocetZen=20394, pocetMuzu=20485, celkem=40879}
Obec{nazev='Ostrava', psc=8119, pocetZen=159284, pocetMuzu=170025, celkem=329309}
Obec{nazev='Telc', psc=6112, pocetZen=6578, pocetMuzu=6649, celkem=13227}
Obec{nazev='Brno', psc=6203, pocetZen=181946, pocetMuzu=198292, celkem=380238}
Obec{nazev='Susice', psc=3214, pocetZen=12018, pocetMuzu=12436, celkem=24454}
Obec{nazev='Bohumin', psc=8102, pocetZen=14618, pocetMuzu=15074, celkem=29692}
Obec{nazev='Humpolec', psc=6103, pocetZen=8392, pocetMuzu=8699, celkem=17091}
Obec{nazev='Rokycany', psc=3211, pocetZen=22953, pocetMuzu=23501, celkem=46454}
Obec{nazev='Pelhrimov', psc=6110, pocetZen=22107, pocetMuzu=22539, celkem=44646}
Obec{nazev='Kladno', psc=2109, pocetZen=57110, pocetMuzu=60377, celkem=117487}
Obec{nazev='Kromeriz', psc=7203, pocetZen=33999, pocetMuzu=36017, celkem=70016}
Obec{nazev='Znojmo', psc=6220, pocetZen=44190, pocetMuzu=45809, celkem=89999}
Obec{nazev='Lanskroun', psc=5306, pocetZen=11119, pocetMuzu=11298, celkem=22417}
Obec{nazev='Bilovec', psc=8101, pocetZen=12807, pocetMuzu=13195, celkem=26002}
Obec{nazev='Mikulov', psc=6211, pocetZen=9620, pocetMuzu=10025, celkem=19645}
Obec{nazev='Zdar nad Sazavou', psc=6115, pocetZen=21374, pocetMuzu=21895, celkem=43269}
Obec{nazev='Slavkov u Brna', psc=6215, pocetZen=10671, pocetMuzu=10982, celkem=21653}
Obec{nazev='Vimperk', psc=3116, pocetZen=8601, pocetMuzu=8713, celkem=17314}
Obec{nazev='Nachod', psc=5209, pocetZen=29731, pocetMuzu=31183, celkem=60914}
Obec{nazev='Domazlice', psc=3202, pocetZen=19126, pocetMuzu=19717, celkem=38843}
Obec{nazev='Valasske Klobouky', psc=7209, pocetZen=11808, pocetMuzu=11803, celkem=23611}
Obec{nazev='Slany', psc=2124, pocetZen=18972, pocetMuzu=19635, celkem=38607}
Obec{nazev='Pribram', psc=2120, pocetZen=33891, pocetMuzu=35305, celkem=69196}
Obec{nazev='Praha 14', psc=1114, pocetZen=20446, pocetMuzu=21662, celkem=42108}
Obec{nazev='Policka', psc=5310, pocetZen=9731, pocetMuzu=9884, celkem=19615}
Obec{nazev='Svitavy', psc=5312, pocetZen=15622, pocetMuzu=16097, celkem=31719}
Obec{nazev='Mnichovo Hradiste', psc=2116, pocetZen=7910, pocetMuzu=8146, celkem=16056}
Obec{nazev='Semily', psc=5107, pocetZen=12822, pocetMuzu=13059, celkem=25881}
Obec{nazev='Praha 17', psc=1117, pocetZen=12978, pocetMuzu=13944, celkem=26922}
Obec{nazev='Lysa nad Labem', psc=2113, pocetZen=10682, pocetMuzu=11025, celkem=21707}
Obec{nazev='Frydlant nad Ostravici', psc=8107, pocetZen=11698, pocetMuzu=11982, celkem=23680}
Obec{nazev='Cernosice', psc=2105, pocetZen=57399, pocetMuzu=60105, celkem=117504}
Obec{nazev='Trebon', psc=3114, pocetZen=12066, pocetMuzu=12605, celkem=24671}
Obec{nazev='As', psc=4101, pocetZen=8253, pocetMuzu=8400, celkem=16653}
Obec{nazev='Prelouc', psc=5311, pocetZen=11905, pocetMuzu=12081, celkem=23986}
Obec{nazev='Lipnik nad Becvou', psc=7104, pocetZen=7576, pocetMuzu=7810, celkem=15386}
Obec{nazev='Nepomuk', psc=3207, pocetZen=5584, pocetMuzu=5517, celkem=11101}
Obec{nazev='Luhacovice', psc=7204, pocetZen=9371, pocetMuzu=9742, celkem=19113}
Obec{nazev='Bystrice pod Hostynem', psc=7201, pocetZen=7730, pocetMuzu=8045, celkem=15775}
Obec{nazev='Havirov', psc=8108, pocetZen=46203, pocetMuzu=48517, celkem=94720}
Obec{nazev='Veseli nad Moravou', psc=6218, pocetZen=19123, pocetMuzu=19876, celkem=38999}
Obec{nazev='Nymburk', psc=2118, pocetZen=18681, pocetMuzu=19520, celkem=38201}
Obec{nazev='Slapanice', psc=6216, pocetZen=29915, pocetMuzu=31046, celkem=60961}
Obec{nazev='Rychnov nad Kneznou', psc=5213, pocetZen=16595, pocetMuzu=16875, celkem=33470}
Obec{nazev='Praha 19', psc=1119, pocetZen=5538, pocetMuzu=5937, celkem=11475}
Obec{nazev='Stod', psc=3212, pocetZen=11153, pocetMuzu=11124, celkem=22277}
Obec{nazev='Dvur Kralove nad Labem', psc=5203, pocetZen=13416, pocetMuzu=13730, celkem=27146}
